,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,총 상주인구 수,상권_코드_명,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
182,2020,2,R,전통시장,1001307,352.0,NaN,NaN,NaN,NaN
183,2020,2,R,전통시장,1001306,168.0,노룬산골목시장,1.0,24.0,108000000.0
184,2020,2,R,전통시장,1001305,61.0,자양종합시장,1.0,63.0,256300000.0
185,2020,2,R,전통시장,1001304,1953.0,자양골목시장,35.0,48.0,183757675.0
186,2020,2,R,전통시장,1001303,88.0,신성골목시장,1.0,55.0,108000000.0
187,2020,2,R,전통시장,1001302,447.0,면곡골목시장,4.0,48.0,148435714.0
188,2020,2,R,전통시장,1001301,793.0,중곡제일시장,5.0,54.0,199593312.0
189,2020,2,R,전통시장,1001300,935.0,화양제일골목시장,9.0,30.0,114672531.0
190,2020,2,R,전통시장,1001299,17.0,NaN,NaN,NaN,NaN
191,2020,2,R,전통시장,1001298,1894.0,성동용답상가시장,11.0,63.0,152917659.0
192,2020,2,R,전통시장,1001297,576.0,뚝도시장,1.0,53.0,267217949.0
193,2020,2,R,전통시장,1001296,214.0,금남시장,1.0,58.0,222000000.0
194,2020,2,R,전통시장,1001295,1536.0,행당시장,1.0,59.0,149444444.0
195,2020,2,R,전통시장,1001294,320.0,마장축산물시장,2.0,98.0,401196800.0
196,2020,2,R,전통시장,1001293,4.0,NaN,NaN,NaN,NaN
197,2020,2,R,전통시장,1001292,42.0,이태원제일시장,2.0,58.0,230000000.0
198,2020,2,R,전통시장,1001291,65.0,NaN,NaN,NaN,NaN
199,2020,2,R,전통시장,1001290,101.0,이촌종합시장,4.0,75.0,284337500.0
200,2020,2,R,전통시장,1001289,396.0,용문전통시장,2.0,15.0,90254630.0
201,2020,2,R,전통시장,1001288,31.0,NaN,NaN,NaN,NaN
202,2020,2,R,전통시장,1001287,87.0,NaN,NaN,NaN,NaN
203,2020,2,R,전통시장,1001286,284.0,후암시장,2.0,56.0,210900862.0
204,2020,2,R,전통시장,1001285,90.0,NaN,NaN,NaN,NaN
205,2020,2,R,전통시장,1001284,994.0,서울중앙시장,1.0,44.0,119111111.0
206,2020,2,R,전통시장,1001283,818.0,백학시장,6.0,59.0,179247024.0
207,2020,2,R,전통시장,1001282,918.0,약수시장,15.0,59.0,173387878.0
208,2020,2,R,전통시장,1001281,1.0,NaN,NaN,NaN,NaN
209,2020,2,R,전통시장,1001279,56.0,동평화시장,1.0,65.0,151137931.0
210,2020,2,R,전통시장,1001277,290.0,방산종합시장,1.0,34.0,67500000.0
211,2020,2,R,전통시장,1001276,4.0,NaN,NaN,NaN,NaN
212,2020,2,R,전통시장,1001275,151.0,NaN,NaN,NaN,NaN
213,2020,2,R,전통시장,1001274,277.0,NaN,NaN,NaN,NaN
214,2020,2,R,전통시장,1001273,72.0,NaN,NaN,NaN,NaN
215,2020,2,R,전통시장,1001272,10.0,NaN,NaN,NaN,NaN
216,2020,2,R,전통시장,1001271,739.0,동묘시장,5.0,27.0,111891667.0
217,2020,2,R,전통시장,1001270,345.0,NaN,NaN,NaN,NaN
218,2020,2,R,전통시장,1001269,67.0,동문시장,1.0,44.0,83826923.0
219,2020,2,R,전통시장,1001268,150.0,NaN,NaN,NaN,NaN
220,2020,2,R,전통시장,1001267,109.0,NaN,NaN,NaN,NaN
221,2020,2,R,전통시장,1001266,2.0,NaN,NaN,NaN,NaN
222,2020,2,R,전통시장,1001265,63.0,NaN,NaN,NaN,NaN
223,2020,2,R,전통시장,1001264,663.0,통인시장,6.0,92.0,270670393.0
224,2020,2,D,발달상권,1001263,257.0,서울 노원구 노원역_3,1.0,19.0,84714286.0
225,2020,2,D,발달상권,1001262,17.0,NaN,NaN,NaN,NaN
226,2020,2,D,발달상권,1001261,676.0,NaN,NaN,NaN,NaN
227,2020,2,D,발달상권,1001260,446.0,창동역,1.0,15.0,75675000.0
228,2020,2,D,발달상권,1001259,743.0,서울 강북구 수유역_3,4.0,57.0,123554067.0
229,2020,2,D,발달상권,1001258,185.0,NaN,NaN,NaN,NaN
230,2020,2,D,발달상권,1001257,2074.0,서울 강북구 수유역_2,21.0,55.0,149208483.0
231,2020,2,D,발달상권,1001256,790.0,서울 강북구 수유역_1,8.0,44.0,119078853.0
232,2020,2,D,발달상권,1001255,116.0,서울 은평구 연신내역_3,1.0,22.0,42210526.0
233,2020,2,D,발달상권,1001254,1021.0,서울 은평구 연신내역_2,9.0,40.0,94142927.0
234,2020,2,D,발달상권,1001253,203.0,서울 은평구 연신내역_1,4.0,41.0,155201291.0
235,2020,2,D,발달상권,1001252,911.0,서울 성북구 미아삼거리역_2,2.0,39.0,108833333.0
236,2020,2,D,발달상권,1001251,355.0,서울 강북구 미아삼거리역_1,3.0,39.0,117396825.0
237,2020,2,D,발달상권,1001250,784.0,서울 은평구 불광역_3,14.0,24.0,124113913.0
238,2020,2,D,발달상권,1001249,731.0,서울 은평구 불광역_2,14.0,31.0,120582313.0
239,2020,2,D,발달상권,1001248,536.0,서울 은평구 불광역_1,12.0,46.0,121161351.0
240,2020,2,D,발달상권,1001247,86.0,NaN,NaN,NaN,NaN
241,2020,2,D,발달상권,1001246,890.0,미아사거리_1,2.0,52.0,236732297.0
242,2020,2,D,발달상권,1001245,1105.0,서울 성북구 성신여대입구역,5.0,35.0,140618254.0
243,2020,2,D,발달상권,1001244,373.0,경희대학교,2.0,20.0,87028409.0
244,2020,2,D,발달상권,1001242,629.0,혜화역 대학로_3,11.0,42.0,152628083.0
245,2020,2,D,발달상권,1001241,791.0,혜화역 대학로_2,10.0,66.0,214224386.0
246,2020,2,D,발달상권,1001240,489.0,혜화역 대학로_1,13.0,67.0,193230128.0
247,2020,2,D,발달상권,1001239,1416.0,NaN,NaN,NaN,NaN
248,2020,2,D,발달상권,1001238,2678.0,서울 동대문구 청량리역,3.0,95.0,397727585.0
249,2020,2,D,발달상권,1001237,279.0,서울 종로구 경복궁역_2,3.0,65.0,266722222.0
250,2020,2,D,발달상권,1001236,277.0,서울 종로구 안국역_2,2.0,71.0,215900000.0
251,2020,2,D,발달상권,1001235,115.0,NaN,NaN,NaN,NaN
252,2020,2,D,발달상권,1001234,584.0,서울 종로구 경복궁역_1,7.0,67.0,261017687.0
253,2020,2,D,발달상권,1001233,130.0,NaN,NaN,NaN,NaN
254,2020,2,D,발달상권,1001232,2101.0,NaN,NaN,NaN,NaN
255,2020,2,D,발달상권,1001231,420.0,서울 동대문구 신설동역_2,4.0,34.0,127712912.0
256,2020,2,D,발달상권,1001230,797.0,인사동,1.0,85.0,171630872.0
